question,answer
What is the return policy of the products?,You can return products within 30 days of delivery.
Do I get discount with the HDFC credit card?,"Yes, HDFC credit card users get a 10% discount on select items."
How can I track my order?,You can track your order using the tracking link sent to your email.
What payment methods are accepted?,"We accept credit/debit cards, net banking, UPI, and cash on delivery."
How long does it take to process a refund?,Refunds are processed within 5-7 business days after the return is received.
Are there any ongoing sales or promotions?,"Yes, check our 'Deals' section for ongoing sales and discounts."
Can I cancel or modify my order after placing it?,You can cancel or modify your order within 1 hour of placing it.
Do you offer international shipping?,"Yes, we offer international shipping to select countries."
What should I do if I receive a damaged product?,Contact our support team within 48 hours for a replacement or refund.
How do I use a promo code during checkout?,Enter your promo code in the designated field during checkout.
How do I use a promo code during checkout?,"Enter your promo code on the payment page before clicking 'Place Order'. Only one promo code can be applied per order on Flipkart."
Can I exchange a product instead of returning it?,"Yes, Flipkart allows exchanges for eligible products within 30 days of delivery depending on the seller's return policy."
Do you provide free shipping?,"Flipkart offers free shipping on select products and on orders above ₹500 for Flipkart Plus members."
How can I contact customer support?,"You can contact Flipkart customer support through the Help Center in the app or call 1800-202-9898 between 8 AM and 11 PM."
What happens if my order is delayed?,"If your Flipkart order is delayed, you will receive updates via SMS, email, and app notifications with the revised delivery timeline."
Can I save multiple delivery addresses in my account?,"Yes, Flipkart users can save multiple addresses under the 'Manage Addresses' section in their account settings."
Are gift cards available for purchase?,"Yes, Flipkart Gift Cards are available from ₹100 to ₹10,000 and can be purchased digitally from the Gift Cards section."
Do you offer EMI payment options?,"Yes, Flipkart provides no-cost EMI and standard EMI options on eligible products using select bank credit and debit cards."
How do I reset my account password?,"Click on 'Forgot Password' on the Flipkart login screen and verify your mobile number or email using OTP."
Can I schedule delivery for a specific date?,"Flipkart offers scheduled delivery for select products and PIN codes during checkout based on availability."
What should I do if I receive the wrong item?,"Report the issue in the Flipkart app within 48 hours of delivery to request a replacement or refund."
